BP,Lake_Gölhisar ,z_score,,BP,Sofular_cave ,z_score,,BP,Eski_Acıgöl,z_score,,BP,Dim_cave,z_score,,BP,Karaca_cave,z_score,,BP,Lake_Van,z_score,,BP,Jeita_cave,z_score,,BP,Lake_Hula,z_score,,BP,Jerusalem_West_cave,z_score,,BP,Soreq_cave,z_score,,BP,KunaBa_cave,z_score,,BP,Lake_Zeribar,z_score,,BP,Lake_Mirabad,z_score,,BP,Gol_e_Zard_cave,z_score,,BP,Hoti_cave,z_score,,BP,Qunf_cave,z_score
6057,-7.67,-1.5308990033,,2494,-8.18,0.8044589597,,4846,0.39,0.4403765608,,10732,-5.963,-0.0796397404,,10509,-12.1654,-0.6927787572,,7056,-0.13,-0.9734899202,,2903,-4.94,1.0825031453,,,,,,,,,,4265,-5.5,0.3817380134,,2230,-6.37,1.043253206,,12335,-2.97,1.4980408056,,,,,,4180,-7.75,0.4944229439,,6254,-5.07,-0.3863119551,,2921,-0.85,1.4068977184
6119,-7.57,-1.4708113843,,2500,-8.15,0.8274122422,,4938,0.82,0.6682161715,,10753,-5.71,0.5167609257,,10623,-11.5444,0.1559502861,,7168,0.1,-0.7414802334,,2909,-4.93,1.1022199551,,,,,,,,,,4280,-5.5,0.3817380134,,2233,-6.35,1.1019495495,,12774,-2.4,1.9452993945,,,,,,4190,-7.69,0.6531491289,,6260,-5.64,-1.5032768473,,2927,-0.98,1.1208282452
6182,-7.43,-1.3866887178,,2505,-8.03,0.9192253721,,5029,0.33,0.4085849873,,10774,-5.877,0.1230893398,,10736,-11.2944,0.4976286449,,7280,-0.07,-0.9129656541,,2917,-4.95,1.0627863356,,,,,,,,,,4295,-5.52,0.3368862885,,2236,-6.24,1.4247794386,,13580,-2.3,2.0237658136,,,,,,4200,-7.77,0.4415142156,,6266,-5.82,-1.8560026027,,2932,-0.91,1.2748656538
6244,-6.5,-0.8278738614,,2511,-8.04,0.911574278,,5121,-0.29,0.0800720603,,10795,-5.881,0.1136600802,,10964,-12.2433,-0.7992457338,,7392,-0.43,-1.2761112509,,2926,-4.77,1.4176889107,,,,,,,,,,4310,-5.51,0.3593121509,,2239,-6.3,1.2486904081,,13883,-3.71,0.9173893042,,,,,,4210,-7.88,0.1505162099,,6272,-5.77,-1.7580232262,,2938,-0.71,1.7149725357
6306,-6.3,-0.7076986234,,2516,-8.23,0.766203489,,5212,-0.91,-0.2484408666,,10816,-5.893,0.0853723016,,11077,-11.7254,-0.0914248457,,7504,-0.23,-1.0743636971,,2934,-4.73,1.4965561496,,,,,,,,,,4320,-5.54,0.2920345637,,2242,-6.41,0.9258605191,,14074,-4.6,0.2190381742,,,,,,4220,-7.88,0.1505162099,,6277,-5.71,-1.6404479744,,2943,-0.94,1.2088496215
6368,-6.47,-0.8098475757,,2522,-8.16,0.8197611481,,5304,-0.65,-0.1106773811,,10837,-5.918,0.0264394295,,11191,-11.6142,0.0605536883,,7616,0.43,-0.4085967698,,2942,-5.18,0.6092997119,,,,,,,,,,4350,-5.66,0.0229242149,,2245,-6.41,0.9258605191,,14521,-4.32,0.4387441477,,,,,,4230,-7.83,0.2827880307,,6283,-5.67,-1.5620644732,,2948,-0.99,1.0988229011
6430,-7.03,-1.1463382419,,2528,-8.04,0.911574278,,5395,-0.32,0.0641762735,,10858,-5.912,0.0405833188,,11305,-11.4376,0.301915281,,7728,0.6,-0.2371113491,,2950,-4.98,1.0036359064,,,,,,,,,,4380,-5.82,-0.3358895835,,2248,-6.32,1.1899940647,,,,,,,,,,4240,-7.79,0.3886054873,,6289,-5.56,-1.3465098449,,2954,-1.03,1.0108015247
6477,-6.97,-1.1102856705,,2533,-7.94,0.9880852196,,5486,-0.3,0.0747734647,,10879,-5.842,0.2055953608,,11419,-11.9714,-0.4276363508,,7840,0.47,-0.368247259,,2958,-5.06,0.8459014286,,,,,,,,,,4410,-5.79,-0.2686119963,,2251,-6.38,1.0139050343,,,,,,,,,,4250,-7.78,0.4150598514,,6295,-5.4,-1.0329758401,,2959,-1.16,0.7247320515
6492,-5.67,-0.3291466239,,2539,-8.08,0.8809699013,,5578,-0.66,-0.1159759767,,10900,-6.099,-0.4002345648,,11532,-11.9297,-0.3706444005,,7952,0.07,-0.7717423665,,2969,-4.89,1.181087194,,,,,,,,,,4440,-5.6,0.1574793893,,2254,-6.24,1.4247794386,,,,,,,,,,4260,-7.73,0.5473316722,,6301,-5.55,-1.3269139696,,2965,-1.14,0.7687427397
6710,-5.43,-0.1849363384,,2545,-8,0.9421786546,,5709,-0.32,0.0641762735,,10921,-5.76,0.3988951814,,11646,-11.8702,-0.2893249511,,8064,0.07,-0.7717423665,,2980,-5.32,0.3332643758,,,,,,,,,,4470,-5.63,0.0902018021,,2256,-6.22,1.483475782,,,,,,,,,,4270,-7.82,0.3092423948,,6307,-5.47,-1.1701469672,,2973,-1.13,0.7907480838
6772,-5.53,-0.2450239574,,2550,-7.99,0.9498297488,,5892,0.1,0.2867172886,,10942,-6.189,-0.6123929046,,11760,-13.4537,-2.4535156759,,8176,0.07,-0.7717423665,,2990,-5.44,0.0966626591,,,,,,,,,,4500,-5.5,0.3817380134,,2259,-6.28,1.3073867516,,,,,,,,,,4280,-7.94,-0.0082099751,,6313,-5.68,-1.5816603485,,2979,-1.19,0.6587160192
